GEO,LABEL_COUNTRY,ZONE,YEAR_IN,YEAR_OUT
NL, Netherlands,EA13,1999,2500
NL, Netherlands,EA16,1999,2500
NL, Netherlands,EA17,1999,2500
NL, Netherlands,EA18,1999,2500
NL, Netherlands,EA19,1999,2500
NL, Netherlands,EEA,1994,2500
NL, Netherlands,EEA18,1994,2500
NL, Netherlands,EEA28,1994,2500
NL, Netherlands,EEA30,1994,2500
NL, Netherlands,EU07,1957,2500
NL, Netherlands,EU09,1957,2500
NL, Netherlands,EU10,1957,2500
NL, Netherlands,EU12,1957,2500
NL, Netherlands,EU15,1957,2500
NL, Netherlands,EU25,1957,2500
NL, Netherlands,EU27,1957,2500
NL, Netherlands,EU28,1957,2500
NO, Norway,EEA,1994,2500
NO, Norway,EEA18,1994,2500
NO, Norway,EEA28,1994,2500
NO, Norway,EEA30,1994,2500
PL, Poland,EEA,2005,2500
PL, Poland,EEA28,2005,2500
PL, Poland,EEA30,2005,2500
PL, Poland,EU25,2004,2500
PL, Poland,EU27,2004,2500
PL, Poland,EU28,2004,2500
PT, Portugal,EA,1999,2500
PT, Portugal,EA12,1999,2500
PT, Portugal,EA13,1999,2500
PT, Portugal,EA16,1999,2500
PT, Portugal,EA17,1999,2500
PT, Portugal,EA18,1999,2500
PT, Portugal,EA19,1999,2500
PT, Portugal,EEA,1994,2500
PT, Portugal,EEA18,1994,2500
PT, Portugal,EEA28,1994,2500
PT, Portugal,EEA30,1994,2500
PT, Portugal,EU12,1986,2500
PT, Portugal,EU15,1986,2500
PT, Portugal,EU25,1986,2500
PT, Portugal,EU27,1986,2500
PT, Portugal,EU28,1986,2500
RO, Romania,EEA,2011,2500
RO, Romania,EEA30,2011,2500
RO, Romania,EU27,2007,2500
RO, Romania,EU28,2007,2500
SE, Sweden,EEA,1994,2500
SE, Sweden,EEA18,1994,2500
SE, Sweden,EEA28,1994,2500
SE, Sweden,EEA30,1994,2500
SE, Sweden,EU15,1995,2500
SE, Sweden,EU25,1995,2500
SE, Sweden,EU27,1995,2500
SE, Sweden,EU28,1995,2500
SI, Slovenia,EA,2007,2500
SI, Slovenia,EA13,2007,2500
SI, Slovenia,EA16,2007,2500
SI, Slovenia,EA17,2007,2500
SI, Slovenia,EA18,2007,2500
SI, Slovenia,EA19,2007,2500
SI, Slovenia,EEA,2005,2500
SI, Slovenia,EEA28,2005,2500
SI, Slovenia,EEA30,2005,2500
SI, Slovenia,EU25,2004,2500
SI, Slovenia,EU27,2004,2500
SI, Slovenia,EU28,2004,2500
SK, Slovakia,EA,2009,2500
SK, Slovakia,EA16,2009,2500
SK, Slovakia,EA17,2009,2500
SK, Slovakia,EA18,2009,2500
SK, Slovakia,EA19,2009,2500
SK, Slovakia,EEA,2005,2500
SK, Slovakia,EEA28,2005,2500
SK, Slovakia,EEA30,2005,2500
SK, Slovakia,EU25,2004,2500
SK, Slovakia,EU27,2004,2500
SK, Slovakia,EU28,2004,2500
UK, United Kingdom,EEA,1994,2500
UK, United Kingdom,EEA18,1994,2500
UK, United Kingdom,EEA28,1994,2500
UK, United Kingdom,EEA30,1994,2500
UK, United Kingdom,EU07,1973,2500
UK, United Kingdom,EU09,1973,2500
UK, United Kingdom,EU10,1973,2500
UK, United Kingdom,EU12,1973,2500
UK, United Kingdom,EU15,1973,2500
UK, United Kingdom,EU25,1973,2500
UK, United Kingdom,EU27,1973,2500
UK, United Kingdom,EU28,1973,2500
IS, Iceland,EFTA,1970,2500
LI, Liechtenstein,EFTA,1991,2500
NO, Norway,EFTA,1960,2500
CH,  Switzerland,EFTA,1960,2500
AT, Austria,EFTA,1960,1995
DK, Denmark,EFTA,1960,1973
FI, Finland,EFTA,1960,1995
PT, Portugal,EFTA,1960,1986
SE, Sweden,EFTA,1960,1995
UK, United Kingdom,EFTA,1960,1973
