country,folder,year,ppp,currency,rate
uk,32,2012,0.946878,gbp,0.81087
hr,33,2012,5.39864,hrk,7.439
mk,34,2012,30.0153,mkd,61.48
rs,35,2012,56.3904,rsd,101.9552
be,1,2011,0.561233,eur,1
bg,2,2011,0.977744,bgn,1.9558
cz,3,2011,18.8645,czk,25.284
dk,4,2011,10.4601,dkk,7.4473
de,5,2011,1.03543,eur,1
ee,6,2011,0.74805,eur,1
el,7,2011,0.944938,eur,1
es,8,2011,0.965696,eur,1
fr,9,2011,1.1012,eur,1
it,10,2011,1.01233,eur,1
cy,11,2011,0.886861,eur,1
lv,12,2011,0.705784,lvl,1
lt,13,2011,2.19521,ltl,3.4528
lu,14,2011,1.22343,eur,1
hu,15,2011,173.49,huf,275.48
mt,16,2011,0.774415,eur,1
nl,17,2011,1.07862,eur,1
at,18,2011,1.05102,eur,1
pl,19,2011,2.4126,pln,3.9947
pt,20,2011,0.874263,eur,1
ro,21,2011,2.41725,ron,4.2122
si,22,2011,0.860913,eur,1
sk,23,2011,0.702751,eur,1
fi,24,2011,1.21733,eur,1
se,25,2011,11.4163,sek,9.5373
is,26,2011,170.274,isk,161.89
no,27,2011,12.0417,nok,8.0043
ch,28,2011,2.04358,chf,1.3803
tr,30,2011,1.39334,try,1.9965
ie,31,2011,1.186355,eur,1
uk,32,2011,0.946864,gbp,0.86788
hr,33,2011,5.47971,hrk,7.2891
mk,34,2011,27.5737,mkd,61.5192
rs,35,2011,53.9939,rsd,103.0431
be,1,2010,1.12349,eur,1
bg,2,2010,1.00293,bgn,1.9558
cz,3,2010,19.3237,czk,26.435
dk,4,2010,10.6523,dkk,7.4462
de,5,2010,1.07002,eur,1
ee,6,2010,0.772831,eur,1
el,7,2010,0.949904,eur,1
es,8,2010,0.977271,eur,1
fr,9,2010,1.12292,eur,1
it,10,2010,1.04852,eur,1
cy,11,2010,0.897953,eur,1
lv,12,2010,0.763795,lvl,1
lt,13,2010,2.31279,ltl,3.4528
lu,14,2010,1.21592,eur,1
hu,15,2010,177.306,huf,280.33
mt,16,2010,0.780687,eur,1
